,Name,Native,nonnative,Fresh,salt
207,Finetooth shark,check,empty,empty,check
208,Firemouth cichlid,empty,check,check,empty
209,Flagfish,check,empty,check,empty
210,Flamefish,check,empty,empty,check
211,Flat needlefish,check,empty,empty,check
212,Flathead catfish,check,empty,check,empty
213,Flier,check,empty,check,empty
214,Florida black bass,check,empty,check,empty
215,Florida blenny,check,empty,empty,check
216,Florida Gar,check,empty,check,empty
217,Florida pompano,check,empty,empty,check
218,Flowerhorn cichlid,empty,check,check,empty
219,Flying gurnard,check,empty,empty,check
220,Foureye butterflyfish,check,empty,empty,check
221,Freckled cardinalfish,check,empty,empty,check
222,Freckled soapfish,check,empty,empty,check
223,French angelfish,check,empty,empty,check
224,French grunt,check,empty,empty,check
225,Freshwater goby,check,empty,empty,check
226,Frilled shark,check,empty,empty,check
227,Frillfin goby,check,empty,empty,check
228,Fringed filefish,check,empty,empty,check
229,Gafftopsail catfish,check,empty,empty,check
230,Gag grouper,check,empty,empty,check
231,Galapagos shark,check,empty,empty,check
232,Giant cichlid,empty,check,check,empty
233,Giant oarfish,check,empty,empty,check
234,Glasseye snapper,check,empty,empty,check
235,Glassy sweeper,check,empty,empty,check
236,Golden shiner,check,empty,check,empty
237,Golden topminnow,check,empty,check,empty
238,Golden tilefish,check,empty,empty,check
239,Goldentail moray,check,empty,empty,check
240,Goldfish,empty,check,check,empty
241,Goldline blenny,check,empty,empty,check
242,Goldspotted eel,check,empty,empty,check
243,Goliath grouper,check,empty,empty,check
244,Grass carp,empty,check,check,empty
245,Grass porgy,check,empty,empty,check
246,Gray angelfish,check,empty,empty,check
247,Gray snapper,check,empty,empty,check
248,Graysby,check,empty,empty,check
249,Great barracuda,check,empty,empty,check
250,Great hammerhead,check,empty,empty,check
251,Great white shark,check,empty,empty,check
252,Greater amberjack,check,empty,empty,check
253,Greater soapfish,check,empty,empty,check
254,Green moray,check,empty,empty,check
255,Green razorfish,check,empty,empty,check
256,Green sunfish,check,check,check,empty
257,Green swordtail,empty,check,check,empty
258,Greenblotch parrotfish,check,empty,empty,check
259,Grey triggerfish,check,empty,empty,check
260,Gulf flounder,check,empty,empty,check
261,Gulf killifish,check,empty,empty,check
262,Gulf kingfish,check,empty,empty,check
263,Gulf menhaden,check,empty,empty,check
264,Gulf of Mexico fringed sole,check,empty,empty,check
265,Gulf pipefish,check,empty,empty,check
266,Gulf sturgeon,check,empty,empty,check
267,Gulf surgeonfish,check,empty,empty,check
268,Gulf toadfish,check,empty,empty,check
269,Guppy,empty,check,check,empty
270,Hairy blenny,check,empty,empty,check
271,Hamlet (fish),check,empty,empty,check
272,Hardhead catfish,check,empty,empty,check
273,Harlequin bass,check,empty,empty,check
274,High-hat (fish),check,empty,empty,check
275,Highfin carpsucker,check,empty,check,empty
276,Hogchoker,check,empty,check,check
277,Hogfish,check,empty,empty,check
278,Honeycomb moray,check,empty,empty,check
279,Horned searobin,check,empty,empty,check
280,Horse-eye jack,check,empty,empty,check
281,Houndfish,check,empty,empty,check
282,Hovering goby,check,empty,empty,check
283,Humpback grouper,empty,check,empty,check
284,Hybrid striped bass,empty,check,check,empty
285,Indigo Hamlet,check,empty,empty,check
286,Inshore lizardfish,check,empty,empty,check
287,Jack Dempsey (fish),empty,check,check,empty
288,Jack-knifefish,check,empty,empty,check
289,Jaguar guapote,empty,check,check,empty
290,Jolthead porgy,check,empty,empty,check
291,Keel-jawed needlefish,check,empty,empty,check
292,Keeltail needlefish,check,empty,empty,check
293,Key brotula,check,empty,empty,check
294,King mackerel,check,empty,empty,check
295,Knobbed porgy,check,empty,empty,check
296,Koi,empty,check,check,empty
297,Kōhaku (fish),empty,check,check,empty
298,Ladyfish,check,empty,empty,check
299,Lagoon triggerfish,empty,check,empty,check
300,Lake chubsucker,check,empty,check,empty
301,Lancer dragonet,check,empty,empty,check
302,Lane snapper,check,empty,empty,check
303,Lantern bass,check,empty,empty,check
304,Largehead hairtail,check,empty,empty,check
305,Largemouth Bass,check,empty,check,empty
306,Least killifish,check,empty,check,check
307,Least puffer,check,empty,empty,check
308,Leatherjack,check,empty,empty,check
309,Lebranche mullet,check,empty,empty,check
310,Lemon shark,check,empty,empty,check
311,Leopard goby,check,empty,empty,check
312,Lesser electric ray,check,empty,empty,check
313,Lichen moray eel,check,empty,empty,check
314,Lined seahorse,check,empty,empty,check
315,Lined sole,check,empty,check,check
316,Little tunny,check,empty,empty,check
317,Longbill spearfish,check,empty,empty,check
318,Longear sunfish,check,empty,check,empty
319,Longfin damselfish,check,empty,empty,check
320,Longfin mako shark,check,empty,empty,check
321,Longjaw squirrelfish,check,empty,empty,check
322,Longlure frogfish,check,empty,empty,check
323,Longnose gar,check,empty,check,empty
324,Longsnout butterflyfish,check,empty,empty,check
325,Longspined porcupine fish,check,empty,empty,check
326,Longspine squirrelfish,check,empty,empty,check
327,Lookdown,check,empty,empty,check
328,Lyre goby,check,empty,empty,check
329,Mahi-mahi,check,empty,empty,check
330,Mahogany snapper,check,empty,empty,check
331,Mangrove snapper,check,empty,empty,check
332,Man-of-war fish,check,empty,empty,check
333,Manta ray,check,empty,empty,check
334,Manytooth conger,check,empty,empty,check
335,Marbled grouper,check,empty,empty,check
336,Marbled moray,check,empty,empty,check
337,Marbled puffer,check,empty,empty,check
338,Margate,check,empty,empty,check
339,Masked puffer,empty,check,empty,check
340,Mayan cichlid,empty,check,check,empty
341,Megamouth shark,check,empty,empty,check
342,Mekong giant catfish,empty,check,check,empty
343,Metallic lanternfish,check,empty,empty,check
344,Midas cichlid,empty,check,check,empty
345,Midnight parrotfish,check,empty,empty,check
346,Mirrorwing flyingfish,check,empty,empty,check
347,Misty grouper,check,empty,empty,check
348,Molly miller,check,empty,empty,check
349,Mottled conger moray,check,empty,empty,check
350,Mottled jawfish,check,empty,empty,check
351,Mozambique Tilapia,empty,check,check,empty
352,Mummichog,check,empty,check,empty
353,Mushroom scorpionfish,check,empty,empty,check
354,Mutton hamlet,check,empty,empty,check
355,Mutton snapper,check,empty,empty,check
356,Naked sole,check,empty,empty,check
357,Nassau grouper,check,empty,empty,check
358,Neon goby,check,empty,empty,check
359,Neon tetra,empty,check,check,empty
360,Night sergeant,check,empty,empty,check
361,Night shark,check,empty,empty,check
362,Nile perch,empty,check,check,empty
363,Nile tilapia,empty,check,check,empty
364,Northern puffer,check,empty,empty,check
365,Northern snakehead,empty,check,check,empty
366,Nurse shark,check,empty,empty,check
367,Ocean sunfish,check,empty,empty,check
368,Ocean surgeon,check,empty,empty,check
369,Ocean triggerfish,check,empty,empty,check
370,Oceanic whitetip shark,check,empty,empty,check
371,Ocellated flounder,check,empty,empty,check
372,Ocellated frogfish,check,empty,empty,check
373,Ocellated moray,check,empty,empty,check
374,Okefenokee pygmy sunfish,check,empty,check,empty
375,Orange-spine surgeonfish,empty,check,empty,check
376,Orangespotted filefish,check,empty,empty,check
377,Orangespotted goby,check,empty,empty,check
378,Orinoco peacock bass,empty,check,check,empty
379,Orinoco sailfin catfish,empty,check,check,empty
380,Oscar (fish),empty,check,check,empty
381,Oyster toadfish,check,empty,empty,check
382,Peacock bass,empty,check,check,empty
383,Peacock grouper,empty,check,empty,check
384,Pearl cichlid,empty,check,check,empty
385,Permit (fish),check,empty,check,check
386,Pigfish (Redmouth grunt),check,empty,empty,check
387,Pike topminnow,empty,check,check,empty
388,Pinfish,check,empty,empty,check
389,Pirambeba,empty,check,check,empty
390,Pirarucu,empty,check,check,empty
391,Plate fish,check,empty,empty,check
392,Polygon moray,check,empty,empty,check
393,Pompano dolphinfish,check,empty,empty,check
394,Porkfish,check,empty,empty,check
395,Princess parrotfish,check,empty,empty,check
396,Puddingwife wrasse,check,empty,empty,check
397,Pumpkinseed,empty,check,check,empty
398,Purplemouth moray eel,check,empty,empty,check
399,Queen angelfish,check,empty,empty,check
400,Queen parrotfish,check,empty,empty,check
401,Queen snapper,check,empty,empty,check
402,Queen triggerfish,check,empty,empty,check
403,Rainbow parrotfish,check,empty,empty,check
404,Rainbow runner,check,empty,empty,check
405,Rainbow smelt,empty,check,check,empty
406,Rainbow trout,empty,check,check,check
407,Red-bellied pacu,empty,check,check,empty
408,Red-bellied piranha,empty,check,check,empty
409,Red devil cichlid,empty,check,check,empty
410,Red drum,check,empty,empty,check
411,Red grouper,check,empty,empty,check
412,Red hind,check,empty,empty,check
413,Red lionfish,empty,check,empty,check
414,Red porgy,check,empty,empty,check
415,Red shiner,empty,check,check,empty
416,Red snapper,check,empty,empty,check
417,Red-striped eartheater,empty,check,check,empty
418,Redband parrotfish,check,empty,empty,check
419,Redbelly tilapia,empty,check,check,empty
420,Redbreast sunfish,check,empty,check,empty
421,Redbreast tilapia,empty,check,check,empty
422,Redear sunfish,check,empty,check,empty
423,Redface eel,check,empty,empty,check
424,Redfin needlefish,check,empty,empty,check
425,Redlip blenny,check,empty,empty,check
426,Redtail catfish,empty,check,check,empty
427,Redtail parrotfish,check,empty,empty,check
428,Reef scorpionfish,check,empty,empty,check
429,Reef squirrelfish,check,empty,empty,check
430,Reef stonefish,empty,check,empty,check
